127.0.0.1, 2014-03-24 13:54:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000603
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/default/index, HTTP/1.1, 200, 0.248349
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.097240
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.096557
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.097211
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.096710
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.096240
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.101832
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000315
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.013113
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001142
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000963
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000642
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.006873
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000829
127.0.0.1, 2014-03-24 13:54:16, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.011424
127.0.0.1, 2014-03-24 13:54:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000222
127.0.0.1, 2014-03-24 13:54:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000351
127.0.0.1, 2014-03-24 13:54:19, POST, /admin/default/index, HTTP/1.1, 303, 0.048652
127.0.0.1, 2014-03-24 13:54:19, GET, /admin/default/site, HTTP/1.1, 200, 0.104331
127.0.0.1, 2014-03-24 13:54:19, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.000622
127.0.0.1, 2014-03-24 13:54:19, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.000407
